original_id	obfuscated_id	status
01.ltl	case_2e41ab110475e7326c742264.ltl	equal
02.ltl	case_a28ef0affc368b0d9a6182ab.ltl	equal
03.ltl	case_065653165f5cd257541931fa.ltl	equal
05.ltl	case_86bc42272fa151b0ac541b4c.ltl	equal
06.ltl	case_fb1e23cc9a39c0972ee757c8.ltl	equal
07.ltl	case_a60da27ddebe83f3213e6fce.ltl	equal
08.ltl	case_82a8ac3330a98a506d5dfd93.ltl	equal
09.ltl	case_c24b061e26c0318d831bb50b.ltl	equal
10.ltl	case_a9e3db8023d39183110bcf31.ltl	equal
11.ltl	case_473c03de02d33db22096becb.ltl	equal
12.ltl	case_3d76e72d20230acc00ef6694.ltl	equal
13.ltl	case_51100105690caa73d9010a58.ltl	equal
ActionConverter.ltl	case_3ebf5268e1ab9d79208699ad.ltl	equal
AlarmMin_efe2feaf.ltl	case_c5933782dbabc449988bc146.ltl	equal
Alarm_06e9cad4.ltl	case_95a13f74157d3e9087c109cc.ltl	equal
Alarm_2d1010f8.ltl	case_5c4226254d0850d6ce9c3d2e.ltl	equal
Alarm_68c86764.ltl	case_48facf50fa358877495d54c7.ltl	equal
Alarm_70523fbe.ltl	case_ca6f693c21dcc8ce8f26395b.ltl	equal
Alarm_88c5c1c3.ltl	case_984501fe66720d438b9b2a57.ltl	equal
Alarm_9cac58d3.ltl	case_33c13e4dde286ddbbb311748.ltl	equal
Alarm_a5f99bc6.ltl	case_d5ba42b0c0248a2dbf03c2eb.ltl	equal
Alarm_f2774e0b.ltl	case_65a384a45b271691b5ed2703.ltl	equal
AllHeating_d6376bf9.ltl	case_1ec4407b91e9aba424cf1e33.ltl	equal
AllLights_06e9cad4.ltl	case_b19d61238bee78824bf1e4cd.ltl	equal
AllLights_2c5b09da.ltl	case_197799dea7057cd7738b5cee.ltl	equal
AllLights_63831f8c.ltl	case_d2aa115428716ec74316b720.ltl	equal
AllLights_aeb1d897.ltl	case_d5d2d1297efb70325844da1a.ltl	equal
AllLights_b209ff21.ltl	case_2a1a4de954878f89d5921834.ltl	equal
