side	family	n	logical_instance	census_class	measured_arity	seeds_used	path_kind	stage_reached	verdict	target_verified	seed_monitor_s	seed_solve_s	generalization_s	instantiation_s	target_monitor_s	target_solve_s	target_check_s	probe_check_s	driver_overhead_s	wrapper_overhead_s	cold_total_s	within_120s	peak_rss_kib	reason	evidence
REAL	abcg_arbiter	4	abcg_arbiter_pb_4_pe_.ltl	-/R	2	2,3	lifted	anti-unify	UNKNOWN	false	0.139403	2.134671	0.906715	0.000000	0.073529	0.000000	0.000000	0.000000	0.243249	0.002613	3.500180	false	385168	anti-unify_predicate_x_4_2_0_at_n_3_requires_arity_n_3_no_bounded_arity_through_k_3_reconstructs_it	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/abcg_arbiter-n4.json
REAL	abcg_arbiter	5	abcg_arbiter_pb_5_pe_.ltl	-/R	2	2,3	lifted	anti-unify	UNKNOWN	false	0.139707	2.137756	0.975500	0.000000	0.077813	0.000000	0.000000	0.000000	0.239447	0.002517	3.572740	false	381428	anti-unify_predicate_x_4_2_0_at_n_3_requires_arity_n_3_no_bounded_arity_through_k_3_reconstructs_it	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/abcg_arbiter-n5.json
REAL	abcg_arbiter	6	abcg_arbiter_pb_6_pe_.ltl	-/R	2	2,3	lifted	anti-unify	UNKNOWN	false	0.141095	2.142174	1.128179	0.000000	0.081141	0.000000	0.000000	0.000000	0.240409	0.002600	3.735598	false	384852	anti-unify_predicate_x_4_2_0_at_n_3_requires_arity_n_3_no_bounded_arity_through_k_3_reconstructs_it	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/abcg_arbiter-n6.json
UNREAL	amba_case_study_unreal	2	amba_case_study_unreal_pb_2_pe_.ltl	R/R	not-measured	-	direct-certified	target_check	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	0.094742	19.773415	0.000000	0.000000	100.162487	0.002452	120.033097	false	1220012	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/amba_case_study_unreal-n2.json
UNREAL	amba_case_study_unreal	3	amba_case_study_unreal_pb_3_pe_.ltl	R/R	not-measured	-	direct-certified	target_solve	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	0.085559	119.562662	0.000000	0.000000	0.099847	0.002494	119.750562	false	1272524	target_solve_predicate_tlsfsolve_at_n_3_exact_target_did_not_export_UNREAL_exit_124_timeout	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/amba_case_study_unreal-n3.json
UNREAL	amba_case_study_unreal	4	amba_case_study_unreal_pb_4_pe_.ltl	R/R	not-measured	-	direct-certified	target_solve	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	0.093213	119.638006	0.000000	0.000000	0.101591	0.002599	119.835410	false	1230756	target_solve_predicate_tlsfsolve_at_n_4_exact_target_did_not_export_UNREAL_exit_124_timeout	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/amba_case_study_unreal-n4.json
UNREAL	amba_case_study_unreal	5	amba_case_study_unreal_pb_5_pe_.ltl	R/R	not-measured	-	direct-certified	target_solve	UNKNOWN	false	0.000000	0.000000	0.000000	0.000000	0.104166	119.621153	0.000000	0.000000	0.101674	0.002537	119.829531	false	2513748	target_solve_predicate_tlsfsolve_at_n_5_exact_target_did_not_export_UNREAL_exit_124_timeout	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/amba_case_study_unreal-n5.json
REAL	amba_decomposed_lock	15	amba_decomposed_lock_pb_15_pe_.ltl	S/S	1	2,3,4	lifted	target_check	REALIZABLE	true	0.394230	0.130964	26.237819	19.498459	0.172568	0.000000	7.661657	0.044656	0.328873	0.008647	54.477873	true	1886132	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/amba_decomposed_lock-n15.json
REAL	amba_decomposed_lock	16	amba_decomposed_lock_pb_16_pe_.ltl	S/S	1	2,3,4	lifted	target_check	UNKNOWN	false	0.392899	0.132534	74.722421	41.963620	0.200534	0.000000	0.000000	0.043891	2.583725	0.002588	120.042211	false	973232	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/amba_decomposed_lock-n16.json
REAL	amba_decomposed_lock	30	amba_decomposed_lock_pb_30_pe_.ltl	S/S	1	2,3,4	lifted	canonicalize	UNKNOWN	false	0.195222	0.065971	0.000000	0.000000	119.665713	0.000000	0.000000	0.000000	0.102986	0.002435	120.032328	false	1403376	absolute_deadline_exhausted	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/amba_decomposed_lock-n30.json
REAL	arbiter	6	arbiter_pb_6_pe_.ltl	-/R	2	3,4	lifted	target_check	REALIZABLE	true	0.273362	0.181367	0.515040	0.255029	0.145473	0.000000	0.205145	0.099883	0.755484	0.003407	2.434190	true	677916	target_verified	/home/gperez/GIT-repos/acacia-bonsai/build_scratch/param-lift-m6-campaign/evidence/arbiter-n6.json
